Recording Number,Recording Date,Document Type,Type Description,Preview URL
20240013407,1-09-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240013407
20240033245,1-22-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240033245
20240047845,1-30-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240047845
20240055471,2-02-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240055471
20240059503,2-06-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240059503
20240162185,3-28-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240162185
20240166968,4-01-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240166968
20240174581,4-04-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240174581
20240248706,5-10-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240248706
20240327268,6-19-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240327268
20240362840,7-09-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240362840
20240362842,7-09-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240362842
20240397734,7-26-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240397734
20240404539,7-30-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240404539
20240405926,7-31-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240405926
20240418984,8-07-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240418984
20240424297,8-09-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240424297
20240457238,8-28-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240457238
20240462425,8-29-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240462425
20240495740,9-18-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240495740
20240495741,9-18-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240495741
20240565232,10-23-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240565232
20240612825,11-15-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240612825
20240648426,12-05-2024,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240648426
20240671069,12-18-2024,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20240671069
20250325950,6-05-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250325950
20250325961,6-05-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250325961
20250328191,6-06-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250328191
20250334642,6-10-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250334642
20250369197,6-26-2025,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250369197
20250384450,7-03-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250384450
20250413885,7-18-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250413885
20250413886,7-18-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250413886
20250470133,8-14-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250470133
20250676901,11-21-2025,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250676901
20250677535,11-21-2025,CERTIFICA,Certificate of Sale,https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250677535
20250734029,12-19-2025,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20250734029
20260056872,1-30-2026,DEED,Sheriff Deed (Final Transfer),https://recorder.maricopa.gov/recording/document-preview.html?recordingNumber=20260056872
