LAND DEAL COST PROJECTION,,
Property Address:,,
Acres:,,
,,
ACQUISITION COSTS,,
Land Purchase Price,,$0
Earnest Money Deposit,,$0
Closing Costs (title/escrow),,$0
Due Diligence (survey/geotech),,$0
Acquisition Subtotal,,$0
,,
ENTITLEMENT COSTS,,
Civil Engineer,,$0
Architect/Design,,$0
Survey/Platting,,$0
Environmental Study,,$0
City Application Fees,,$0
Zoning/Variance Fees,,$0
Legal Fees,,$0
Entitlement Subtotal,,$0
,,
HOLDING COSTS,,
Property Taxes (monthly x months),,$0
Insurance,,$0
Loan Interest (if financed),,$0
Utilities,,$0
Holding Subtotal,,$0
,,
SELLING COSTS,,
Broker Commission (%),,$0
Transfer Taxes,,$0
Closing Costs,,$0
Selling Subtotal,,$0
,,
TOTAL COSTS,,$0
,,
EXIT ANALYSIS,,
Expected Sale Price (Entitled),,$0
Minus Total Costs,,$0
NET PROFIT,,$0
ROI (%),,$0
