Date,Description,Category,Deposits,Withdrawals,Account,Notes
1/9,Acuity Ins Prem 250107 - Oncor Concrete LLC,Insurance,,-512.33,Business Checking,Business insurance premium
1/10,American Wolf CO Payroll 250110 - Oncor Concrete LLC,Income,2800.00,,Business Checking,GC payment - American Wolf
1/10,Transfer to Skinner J Everyday Checking,Owner Draw,,-2250.00,Business Checking,Transfer to personal
1/10,Transfer to Wells Fargo Signify,Credit Card Payment,,-500.00,Business Checking,CC payment
1/17,Acuity Ins Prem 250115 - Oncor Concrete LLC,Insurance Refund,516.32,,Business Checking,Insurance credit/refund
1/24,Transfer to Wells Fargo Signify,Credit Card Payment,,-500.00,Business Checking,CC payment
3/12,Mobile Deposit,Income,1113.00,,Business Checking,Check deposit
3/20,Zelle to Mom,Personal/Draw,,-500.00,Business Checking,Personal payment
3/20,Transfer to Wells Fargo Signify,Credit Card Payment,,-400.00,Business Checking,CC payment
4/7,Transfer From Skinner J Everyday Checking,Owner Contribution,1800.00,,Business Checking,From personal
4/7,Zelle to Alex,Labor,,-1800.00,Business Checking,Subcontractor payment
4/11,American Wolf CO Payroll 250411 - Oncor Concrete LLC,Income,3350.00,,Business Checking,GC payment - American Wolf
4/11,Transfer to Skinner J Everyday Checking,Owner Draw,,-1800.00,Business Checking,Transfer to personal
4/14,Transfer to Wells Fargo Signify,Credit Card Payment,,-1779.40,Business Checking,CC payment
5/29,Transfer From Skinner J Everyday Checking,Owner Contribution,8600.00,,Business Checking,From personal
6/2,Zelle to Alex,Labor,,-1100.00,Business Checking,Subcontractor payment
6/2,Transfer From Skinner J Everyday Checking,Owner Contribution,180.00,,Business Checking,From personal
6/4,Transfer to Wells Fargo Signify,Credit Card Payment,,-2000.00,Business Checking,CC payment
6/9,Zelle to Tj,Labor,,-800.00,Business Checking,Subcontractor payment
6/9,Zelle to Alex,Labor,,-2000.00,Business Checking,Subcontractor payment
6/16,Transfer From Skinner J Everyday Checking,Owner Contribution,7000.00,,Business Checking,From personal
6/16,Transfer From Skinner J Everyday Checking,Owner Contribution,1600.00,,Business Checking,From personal
6/16,Zelle to Tj,Labor,,-400.00,Business Checking,Subcontractor payment
6/16,Zelle to George,Labor,,-350.00,Business Checking,Subcontractor payment
6/16,Transfer to Wells Fargo Signify,Credit Card Payment,,-7783.66,Business Checking,CC payment
6/16,Transfer to Skinner J Everyday Checking,Owner Draw,,-2676.94,Business Checking,Transfer to personal
7/2,Wells Fargo Rewards,Other Income,210.47,,Business Checking,CC rewards
7/8,Transfer to Skinner J Everyday Checking,Owner Draw,,-210.47,Business Checking,Transfer to personal
5/28,QT 478 Mesa AZ,Fuel,,-2.59,Credit Card 4026,Gas
5/28,76 - Chandler Quick An Chandler AZ,Fuel,,-40.00,Credit Card 4026,Gas
5/29,Whataburger 1406 Gilbert AZ,Meals,,-14.07,Credit Card 4026,Food
5/29,Circle K 09161 Chandler AZ,Fuel,,-2.83,Credit Card 4026,Gas
5/29,Vulcan Calmat Irwindale CA,Materials,,-617.69,Credit Card 4026,Concrete materials
5/30,Suncoast Post-Tension Phoenix AZ,Materials,,-2736.72,Credit Card 4026,Post-tension materials
5/31,Fry #615 Gilbert AZ,Supplies,,-19.44,Credit Card 4026,Supplies
5/31,Burrito Express Higley Gilbert AZ,Meals,,-34.06,Credit Card 4026,Food
5/31,The Home Depot #0456 Mesa AZ,Materials,171.22,,Credit Card 4026,Return/credit
5/31,The Home Depot #0456 Mesa AZ,Materials,,-150.00,Credit Card 4026,Materials
5/31,The Home Depot #0456 Mesa AZ,Materials,25.45,,Credit Card 4026,Return/credit
5/31,The Home Depot #0456 Mesa AZ,Materials,,-40.04,Credit Card 4026,Materials
5/31,The Home Depot #0456 Mesa AZ,Materials,,-605.94,Credit Card 4026,Materials
6/4,Circle K 09161 Easysavings NY,Fuel,0.03,,Credit Card 4026,Rewards
6/9,Kilgore Companies Salt Lake City UT,Materials,,-5716.98,Credit Card 4026,Concrete/aggregates
6/14,The Home Depot #0456 Mesa AZ,Materials,37.88,,Credit Card 4026,Return/credit
6/14,The Home Depot #0456 Mesa AZ,Materials,,-59.05,Credit Card 4026,Materials
6/14,The Home Depot #0456 Mesa AZ,Materials,,-232.17,Credit Card 4026,Materials
6/14,The Home Depot #0456 Mesa AZ,Materials,,-100.00,Credit Card 4026,Materials
6/14,The Home Depot #0456 Mesa AZ,Materials,100.00,,Credit Card 4026,Return/credit
7/1,Online Payment Thank You,Credit Card Payment,253.34,,Credit Card,CC payment received
12/2,Facebook Ads,Advertising,,-2.00,Credit Card 4026,Marketing
12/2,Facebook Ads,Advertising,,-2.00,Credit Card 4026,Marketing
12/2,Facebook Ads,Advertising,,-2.00,Credit Card 4026,Marketing
12/3,Facebook Ads,Advertising,,-5.00,Credit Card 4026,Marketing
12/3,Facebook Ads,Advertising,,-5.00,Credit Card 4026,Marketing
12/3,Facebook Ads,Advertising,,-3.00,Credit Card 4026,Marketing
12/3,Facebook Ads,Advertising,,-2.11,Credit Card 4026,Marketing
12/3,Facebook Ads,Advertising,,-2.27,Credit Card 4026,Marketing
12/9,Affordable Contractors Gilbert AZ,Advertising,,-781.82,Credit Card 4026,Lead generation/advertising
12/11,Craigslist.org San Francisco CA,Advertising,,-45.00,Credit Card 4026,Job posting
5/9,Valley Kids Foundation Phoenix AZ,Donations,,-150.00,Credit Card 4026,Charitable donation
4/6,Home Depot #0404 Mesa AZ,Materials,,-18.77,Credit Card 4026,Materials
4/7,Cohills Building Speci Phoenix AZ,Materials,,-216.66,Credit Card 4026,Building supplies
4/7,Home Depot #0401 Phoenix AZ,Materials,,-37.72,Credit Card 4026,Materials
4/8,Home Depot #0401 Phoenix AZ,Materials,,-12.79,Credit Card 4026,Materials
4/12,Barstool Nashville TN,PERSONAL,,-42.58,Credit Card 4026,⚠️ Personal - entertainment
2/23,Rewards Cash Rebate,Rebate,98.32,,Credit Card 4026,CC rewards
3/8,McDonalds F21240 Mesa AZ,Meals,,-8.27,Credit Card 4026,Food
1/7,Facebook Ads,Advertising,,-20.45,Credit Card 4026,Marketing
1/11,WM Supercenter #2768 Mesa AZ,Supplies,,-22.61,Credit Card 4026,Supplies
1/11,Schlotzskys #1007 Tempe AZ,Meals,,-23.66,Credit Card 4026,Food
1/11,Home Depot #0469 Mesa AZ,Materials,,-57.90,Credit Card 4026,Materials
1/11,Home Depot #0469 Mesa AZ,Materials,,-57.90,Credit Card 4026,Materials
1/14,Tractor Supply #2136 Queen Creek AZ,Supplies/Equipment,,-179.05,Credit Card 4026,Equipment/supplies
1/14,Popeyes 12261 Queen Creek AZ,Meals,,-12.94,Credit Card 4026,Food
1/15,Dutch Bros AZ0624 Gilbert AZ,Meals,,-6.44,Credit Card 4026,Coffee
1/15,Cafe Zupas Chandler AZ,Meals,,-18.36,Credit Card 4026,Food
1/16,Jersey Mikes 9027 Tempe AZ,Meals,,-20.27,Credit Card 4026,Food
1/16,Subway 12010 Phoenix AZ,Meals,,-17.27,Credit Card 4026,Food
1/17,TST Buffalo Spot Tempe AZ,Meals,,-21.62,Credit Card 4026,Food
1/17,Chick-Fil-A #01692 Gilbert AZ,Meals,,-19.15,Credit Card 4026,Food
1/17,Arco #42201 Glendale AZ,Fuel,,-6.54,Credit Card 4026,Gas
1/18,Dutch Bros AZ0624 Gilbert AZ,Meals,,-6.99,Credit Card 4026,Coffee
1/20,QT 467 Tempe AZ,Fuel,,-5.68,Credit Card 4026,Gas
1/20,QT 467 Tempe AZ,Fuel,,-30.19,Credit Card 4026,Gas
1/20,Chick-Fil-A #02567 Chandler AZ,Meals,,-16.95,Credit Card 4026,Food
1/21,Panda Express #1677 Chandler AZ,Meals,,-28.43,Credit Card 4026,Food
1/22,Arco #42201 Glendale AZ,Fuel,,-4.91,Credit Card 4026,Gas
1/23,QT 467 Tempe AZ,Fuel,,-5.17,Credit Card 4026,Gas
1/23,QT 467 Tempe AZ,Fuel,,-14.58,Credit Card 4026,Gas
1/23,Panda Express #1677 Chandler AZ,Meals,,-13.30,Credit Card 4026,Food
1/23,Home Depot #0489 Tempe AZ,Materials,,-22.68,Credit Card 4026,Materials
1/24,Chick-Fil-A #02567 Chandler AZ,Meals,,-11.88,Credit Card 4026,Food
1/24,Arco #42201 Glendale AZ,Fuel,,-4.97,Credit Card 4026,Gas
1/25,Wal-Mart #5768 Tempe AZ,Supplies,,-34.48,Credit Card 4026,Supplies
1/25,Dutch Bros AZ0605 Tempe AZ,Meals,,-6.97,Credit Card 4026,Coffee
1/25,Aldi 79155 Tempe AZ,PERSONAL,,-19.19,Credit Card 4026,⚠️ Personal - groceries
1/26,Amazon Reta ZG74X78B1,Supplies,,-80.94,Credit Card 4026,Supplies - verify business use
